# CUDA Kernel Histogram Data
# kernel_time_ms coins_found
1.409 0
1.392 0
1.389 0
1.387 0
1.388 0
1.386 0
1.408 0
1.392 0
1.387 0
1.386 0
1.386 0
1.386 0
1.395 0
1.393 0
1.387 0
1.386 0
1.391 0
1.389 0
1.386 0
1.386 0
1.387 0
1.384 0
1.386 0
1.386 0
1.386 0
1.387 0
1.385 0
1.385 0
1.385 0
1.409 0
1.392 0
1.387 0
1.387 0
1.387 0
1.386 0
1.392 0
1.394 0
1.388 0
1.386 0
1.386 0
1.386 0
1.388 0
1.387 0
1.386 0
1.386 0
1.387 0
1.385 0
1.386 0
1.387 0
1.384 0
1.386 0
1.386 0
1.384 0
1.385 0
1.387 0
1.387 0
1.385 0
1.385 0
1.413 0
1.395 0
1.390 0
1.384 0
1.384 0
1.386 0
1.384 0
1.384 0
1.386 0
1.385 0
1.385 0
1.385 0
1.398 0
1.390 0
1.385 0
1.384 0
1.384 0
1.385 0
1.384 0
1.386 0
1.385 0
1.384 0
1.384 0
1.407 0
1.390 0
1.385 0
1.385 0
1.384 0
1.384 0
1.391 0
1.390 0
1.385 0
1.388 0
1.387 0
1.385 0
1.385 0
1.385 0
1.385 0
1.384 0
1.385 0
1.385 0
1.385 0
1.385 0
1.384 0
1.384 0
1.385 0
1.384 0
1.384 0
1.385 0
1.342 0
1.223 0
1.223 0
1.223 0
1.224 0
1.223 0
1.223 0
1.413 0
1.223 0
1.223 0
1.244 0
1.225 0
1.224 0
1.223 0
1.223 0
1.226 0
1.223 0
1.223 0
1.225 0
1.224 0
1.224 0
1.227 0
1.225 0
1.247 0
1.231 0
1.224 0
1.225 0
1.223 0
1.223 0
1.223 0
1.223 0
1.224 0
1.224 0
1.224 0
1.224 0
1.223 0
1.225 0
1.223 0
1.224 0
1.223 0
1.224 0
1.224 0
1.224 0
1.231 0
1.230 0
1.225 0
1.224 0
1.223 0
1.223 0
1.222 0
1.223 0
1.224 0
1.224 0
1.223 0
1.223 0
1.224 0
1.229 0
1.229 0
1.224 0
1.223 0
1.223 0
1.223 0
1.223 0
1.226 0
1.224 0
1.223 0
1.224 0
1.224 0
1.223 0
1.247 0
1.229 0
1.224 0
1.224 0
1.223 0
1.223 0
1.223 0
1.223 0
1.225 0
1.223 0
1.223 0
1.223 0
1.223 0
1.231 0
1.236 0
1.229 0
1.225 0
1.225 0
1.223 0
1.225 0
1.230 0
1.454 0
1.225 0
1.224 0
1.224 0
1.224 0
1.223 0
1.226 0
1.230 0
1.229 0
1.229 0
1.231 0
1.235 0
1.227 0
1.234 0
1.232 0
1.226 0
1.224 0
1.224 0
1.223 0
1.229 0
1.231 0
1.228 0
1.228 0
1.226 0
1.224 0
1.224 0
1.224 0
1.225 0
1.224 0
1.224 0
1.223 0
1.223 0
1.230 0
1.229 0
1.225 0
1.224 0
1.223 0
1.224 0
1.224 0
1.227 0
1.228 0
1.224 0
1.224 0
1.223 0
1.224 0
1.224 0
1.232 0
1.225 0
1.224 0
1.225 0
1.226 0
1.225 0
1.230 0
1.226 0
1.225 0
1.224 0
1.223 0
1.224 0
1.223 0
1.224 0
1.225 0
1.224 0
1.224 0
1.223 0
1.223 0
1.230 0
1.232 0
1.224 0
1.224 0
1.223 0
1.223 0
1.223 0
1.224 0
1.224 0
1.224 0
1.223 0
1.223 0
1.222 0
1.245 0
1.229 0
1.223 0
1.222 0
1.223 0
1.223 0
1.223 0
1.223 0
1.225 0
1.225 0
1.223 0
1.223 0
